# num-MNs	ClioA	ClioB	ClioC	CloverA	CloverB	CloverC
1		1.044	1.085	1.104	0.828	1.047	1.097
2		2.049	1.981	1.945	0.937	1.121	1.355
3		2.273	2.434	2.494	0.922	1.326	1.367
4		2.354	2.368	2.504	0.943	1.249	1.361

# from https://docs.google.com/spreadsheets/d/1oYvfLmrZP0PFvA9QuKpnQn2hFinfX6vVr1bGqEqttCk/edit#gid=309871226
