1	0.178	0.163	0.163	0.191	0.171	0.169
2	0.332	0.317	0.317	0.346	0.334	0.332
3	0.615	0.627	0.627	0.612	0.652	0.653
4	1.044	1.085	1.104	1.040	1.096	1.104

# num-MNs A B C Aphys Bphys Cphys
# from https://docs.google.com/spreadsheets/d/1oYvfLmrZP0PFvA9QuKpnQn2hFinfX6vVr1bGqEqttCk/edit#gid=1876757834
