1.00    0.88    1.03    1.115    2.39      0.087       0                0.557          0.248
2.00    0.86    1.006   1.00     2.19      0.085       0                0.500          0.227
3.00    0.81    0.98    1.055    2.15      0.08        0                0.527          0.223

#type   DVMA   Clover   HERD    HERD-BF    DVMA-MN      Clover-MN       HERD-MN         HERD-BF-MN
