#pkt vanilla-ovs   dpdk-ovs  dpdk-ovs-nf    dpdk-ovs-snic 
1    0.059	0.314   0.297    0.311
2    0.164	0.784   0.737    0.781
3    0.354	 1.66    1.68     1.67
4    0.741	 3.31    3.22     3.25
