workload	PowerGraph	Grappa	DSM-NoXact	DSM-Xact	Hotpot	
4N4T		8.16		5.3	1.67		2.25		1.63
7N4T		4.84		2.75	2.07		2.26		1.48
7N8T		2.97		1.75	2.28		1.9		1.31
