#
# Throughput: commits/second
# nr_nodes: 1,2,4,8,16
#	MRSW	MRMW
#1	32258	30303
#2	14285	13889
#3	18264	14388
#4	31872	22160
#5	41884	29520
2	14	13
3	18	14
4	31	22
5	41	29
