# Network Latency Table
#
#	Linux(IBoIP)	Lego(SockIB)	Lego(IB-RPC)
1	23.12		5.99		4.63
2	18.48		6.12		4.76
3	18.69		6.57		4.9
4	19.02		6.89		5.35
5	21.32		7.61		6.05
6	23.78		8.28		6.52

#1	2.001			1.364		0.777		0.665
#2	2.019			1.266		0.786		0.677
#3	2.046			1.271		0.817		0.690
#4	2.161			1.279		0.838		0.728
#5	2.250			1.329		0.881		0.781
#6	2.299			1.376		0.918		0.814
